Shape_Length,Shape_Area,Acres,Jurisdiction,RPC
31172.074152378871077,7750220.501357788220048,1915.11823698802,Newport City,NVDA
167001.497585005068686,18591746.072442311793566,4594.11341323086,Lyndon,NVDA
15810.510790978776640,4250544.389224071055651,1050.33077129921,Hardwick,NVDA
13383.183454903914026,2380273.045631051063538,588.177370940661,Canaan,NVDA
59083.173375406331616,12886584.693773971870542,3184.33951075502,Brighton,NVDA
67935.086861462361412,4730954.032918814569712,1169.0423963044,Barton,NVDA
